month,bidding_no,vehicle_class,premium
2018-04,2,Category C,34202
2018-04,2,Category D,7115
2018-04,2,Category E,38389
2018-05,1,Category A,38941
2018-05,1,Category B,38501
2018-05,1,Category C,33190
2018-05,1,Category D,7204
2018-05,1,Category E,38600
2018-05,2,Category A,38001
2018-05,2,Category B,37989
2018-05,2,Category C,29901
2018-05,2,Category D,7115
2018-05,2,Category E,38700
2018-06,1,Category A,36426
2018-06,1,Category B,36000
2018-06,1,Category C,29902
2018-06,1,Category D,7001
2018-06,1,Category E,37000
2018-06,2,Category A,34110
2018-06,2,Category B,33900
2018-06,2,Category C,32001
2018-06,2,Category D,6889
2018-06,2,Category E,34400
2018-07,1,Category A,25000
2018-07,1,Category B,31000
2018-07,1,Category C,31092
2018-07,1,Category D,6514
2018-07,1,Category E,31001
2018-07,2,Category A,32699
2018-07,2,Category B,32551
2018-07,2,Category C,30889
2018-07,2,Category D,6189
2018-07,2,Category E,32809
2018-08,1,Category A,33798
2018-08,1,Category B,34381
2018-08,1,Category C,30389
2018-08,1,Category D,5514
2018-08,1,Category E,33420
2018-08,2,Category A,31997
2018-08,2,Category B,32429
2018-08,2,Category C,29902
2018-08,2,Category D,4889
2018-08,2,Category E,32311
2018-09,1,Category A,30209
2018-09,1,Category B,32001
2018-09,1,Category C,27001
2018-09,1,Category D,4390
2018-09,1,Category E,31801
2018-09,2,Category A,28000
2018-09,2,Category B,31307
2018-09,2,Category C,27104
2018-09,2,Category D,4214
2018-09,2,Category E,32000
2018-10,1,Category A,28457
2018-10,1,Category B,31301
2018-10,1,Category C,28501
2018-10,1,Category D,4109
2018-10,1,Category E,32552
2018-10,2,Category A,25556
2018-10,2,Category B,31302
2018-10,2,Category C,29501
2018-10,2,Category D,3951
2018-10,2,Category E,32900
2018-11,1,Category A,28199
2018-11,1,Category B,32302
2018-11,1,Category C,29501
2018-11,1,Category D,2509
2018-11,1,Category E,32000
2018-11,2,Category A,25000
2018-11,2,Category B,31101
2018-11,2,Category C,27509
2018-11,2,Category D,2989
2018-11,2,Category E,30959
2018-12,1,Category A,23568
2018-12,1,Category B,31001
2018-12,1,Category C,27009
2018-12,1,Category D,3399
2018-12,1,Category E,30851
2018-12,2,Category A,25501
2018-12,2,Category B,31001
2018-12,2,Category C,27001
2018-12,2,Category D,3789
2018-12,2,Category E,31809
